Time period,Local Authority,MSOA code,MSOA name (EN),MSOA name (CY),Cases,"Incidence per 100,000 population"
20210707,Bridgend,W02000229,Cefn-glas & Bryntirion,Cefn-glas a Bryntirion,14,222.5
20210707,Bridgend,W02000230,"Pen-y-fai, Laleston & Merthyr Mawr","Pen-y-fai, Trelales a Merthyr Mawr",5,90.8
20210707,Bridgend,W02000231,Central Bridgend,Canol Pen-y-bont ar Ogwr,15,175.9
20210707,Bridgend,W02000232,Brackla East & Coychurch Lower,Dwyrain Bracla a Llangrallo Isaf,10,170.5
20210707,Bridgend,W02000233,Brackla West,Gorllewin Bracla,12,187.7
20210707,Bridgend,W02000234,Broadlands,Broadlands,22,198.2
20210707,Bridgend,W02000235,Porthcawl West,Gorllewin Porthcawl,9,100.0
20210707,Bridgend,W02000236,Porthcawl East,Dwyrain Porthcawl,7,98.7
20210707,Caerphilly,W02000290,"Rhymney, Pontlottyn & Abertysswg","Rhymni, Pontlotyn a Abertyswg",7,78.8
20210707,Caerphilly,W02000291,New Tredegar & Darran Valley,Tredegar Newydd a Chwm Darran,5,68.3
20210707,Caerphilly,W02000292,Aberbargoed & Gilfach,Aberbargoed a Gilfach,12,197.6
20210707,Caerphilly,W02000293,Bargoed,Bargoed,3,48.6
20210707,Caerphilly,W02000294,"North Blackwood, Argoed & Markham","Gogledd Coed-duon, Argoed a Markham",9,158.6
20210707,Caerphilly,W02000295,Oakdale & Pen-twyn,Oakdale a Phen-twyn,15,154.6
20210707,Caerphilly,W02000296,Pengam & Cefn Fforest,Pengam a Chefn Fforest,6,77.4
20210707,Caerphilly,W02000297,St Cattwg,St Cattwg,11,144.6
20210707,Caerphilly,W02000298,Blackwood,Coed-duon,14,190.5
20210707,Caerphilly,W02000299,Newbridge,Trecelyn,6,89.7
20210707,Caerphilly,W02000300,Pontllan-fraith,Pontllan-fraith,13,151.1
20210707,Caerphilly,W02000301,Hengoed & Maesycwmer,Hengoed a Maesycwmer,9,111.1
20210707,Caerphilly,W02000302,Ystrad Mynach & Nelson,Ystrad Mynach a Nelson,12,116.8
20210707,Caerphilly,W02000303,Crosskeys North & Abercarn,Gogledd Crosskeys ac Abercarn,11,151.2
20210707,Caerphilly,W02000304,Crosskeys South & Ynysddu,De Crosskeys ac Ynys-ddu,9,154.4
20210707,Caerphilly,W02000305,Risca East,Dwyrain Rhisga,10,159.2
20210707,Caerphilly,W02000306,Risca West,Gorllewin Rhisga,7,135.0
20210707,Caerphilly,W02000307,Aber Valley,Cwm Aber,6,88.2
20210707,Caerphilly,W02000308,Llanbradach & Penyrheol,Llanbradach a Phenyrheol,9,98.4
20210707,Caerphilly,W02000309,Bedwas & Trethomas,Bedwas a Thretomas,4,58.5
20210707,Caerphilly,W02000310,Machen,Machen,4,73.1
20210707,Caerphilly,W02000311,Caerphilly East,Dwyrain Caerffili,12,121.9
20210707,Caerphilly,W02000312,Caerphilly West,Gorllewin Caerffili,6,79.8
20210707,Caerphilly,W02000313,Caerphilly South,De Caerffili,7,65.5
20210707,Cardiff,W02000367,Lisvane,Llys-faen,17,292.7
20210707,Cardiff,W02000368,Thornhill,Y Ddraenen,9,155.3
20210707,Cardiff,W02000369,Pontprennau,Pontprennau,18,206.0
20210707,Cardiff,W02000370,Rhiwbina & Pant-mawr,Rhiwbeina a Phant-mawr,5,75.9
20210707,Cardiff,W02000371,Llanishen,Llanisien,16,166.5
20210707,Cardiff,W02000372,"Radyr, Morganstown & Gwaelod-y-garth","Radur, Pentre-poeth a Gwaelod-y-garth",11,135.2
20210707,Cardiff,W02000373,Llanrumney North,Gogledd Llanrhymni,19,274.7
20210707,Cardiff,W02000374,Cyncoed North,Gogledd Cyncoed,0-2,<34
20210707,Cardiff,W02000375,Pentwyn,Pentwyn,9,122.6
20210707,Cardiff,W02000376,Tongwynlais & Coryton,Tongwynlais a Coryton,12,170.5
20210707,Cardiff,W02000377,Pwll-mawr & St Mellons East,Pwll-mawr a Dwyrain Llaneirwg,11,148.0
20210707,Cardiff,W02000378,Rhiwbina Village,Pentref Rhiwbeina,18,241.3
20210707,Cardiff,W02000379,St Mellons West,Gorllewin Llaneirwg,3,46.2
20210707,Cardiff,W02000380,"Creigiau, Pentyrch & St Fagans","Creigiau, Pen-tyrch a Sain Ffagan",10,138.6
20210707,Cardiff,W02000381,Llanrumney South,De Llanrhymni,12,182.1
20210707,Cardiff,W02000382,Trowbridge,Trowbridge,6,96.6
20210707,Cardiff,W02000383,Llanedeyrn,Llanedern,3,41.3
20210707,Cardiff,W02000384,Heath,Y Mynydd Bychan,9,157.0
20210707,Cardiff,W02000385,Cyncoed South & Roath Park,De Cyncoed a Pharc y Rhath,9,117.7
20210707,Cardiff,W02000386,Whitchurch,Yr Eglwys Newydd,15,188.9
20210707,Cardiff,W02000387,Birchgrove,Llwynbedw,7,114.1
20210707,Cardiff,W02000388,Rumney,Tredelerch,5,84.9
20210707,Cardiff,W02000389,Llandaf North,Ystum Taf,14,161.1
20210707,Cardiff,W02000390,Pen-y-lan North,Gogledd Pen-y-lan,6,92.7
20210707,Cardiff,W02000391,Gabalfa,Gabalfa,26,264.6
20210707,Cardiff,W02000392,Llandaf & Danescourt,Llandaf a Danescourt,20,225.4
20210707,Cardiff,W02000393,Fairwater North,Gogledd y Tyllgoed,7,105.5
20210707,Cardiff,W02000394,Cathays North,Gogledd Cathays,31,328.7
20210707,Cardiff,W02000395,Pen-y-lan South,De Pen-y-lan,9,127.4
20210707,Cardiff,W02000396,Roath,Y Rhath,9,116.4
20210707,Cardiff,W02000397,Fairwater South,De'r Tyllgoed,0-2,<32
20210707,Cardiff,W02000398,Cathays South & Bute Park,De Cathays a Pharc Biwt,44,347.4
20210707,Cardiff,W02000399,Plasnewydd,Plasnewydd,33,320.1
20210707,Cardiff,W02000400,Pontcanna,Pontcanna,10,150.0
20210707,Cardiff,W02000401,Victoria Park,Parc Victoria,4,66.4
20210707,Cardiff,W02000402,Adamsdown,Adamsdown,22,182.2
20210707,Cardiff,W02000403,Tremorfa & Pengam,Tremorfa a Phengam,11,146.8
20210707,Cardiff,W02000404,Splott,Y Sblot,16,259.5
20210707,Cardiff,W02000405,Ely East,Dwyrain Trel‡i,3,38.6
20210707,Cardiff,W02000406,Canton,Treganna,14,152.1
20210707,Cardiff,W02000407,Caerau East,Dwyrain Caerau,6,87.3
20210707,Cardiff,W02000408,South Riverside,De Glanyrafon,17,228.7
20210707,Cardiff,W02000409,Ely West,Gorllewin Trel‡i,9,146.2
20210707,Cardiff,W02000410,Grangetown North,Gogledd Grangetown,15,167.3
20210707,Cardiff,W02000411,Caerau West,Gorllewin Caerau,12,177.8
20210707,Cardiff,W02000412,Grangetown South,De Grangetown,5,72.4
20210707,Cardiff,W02000422,Cardiff Bay,Bae Caerdydd,12,125.3
20210707,Cardiff,W02000423,Butetown,Tre-biwt,15,138.8
20210707,Carmarthenshire,W02000142,Llanfihangel-ar-arth & Llanybydder,Llanfihangel-ar-arth a Llanybydder,4,70.4
20210707,Carmarthenshire,W02000143,"Llandovery, Cil-y-cwm & Cynwyl Gaeo","Llanymddyfri, Cil-y-cwm a Chynwyl Gaeo",0-2,<36
20210707,Carmarthenshire,W02000144,"Tre-lech, Cenarth & Llangeler","Tre-lech, Cenarth a Llangeler",4,52.4
20210707,Carmarthenshire,W02000145,"Llandeilo, Llangadog & Maenordeilo","Llandeilo, Llangadog a Maenordeilo",0-2,<28
20210707,Carmarthenshire,W02000146,"Abergwili, Llanegwad & Carmel","Abergwili, Llanegwad a Charmel",7,105.1
20210707,Carmarthenshire,W02000147,Carmarthen West & Cynwyl Elfed,Gorllewin Caerfyrddin a Chynwyl Elfed,13,150.8
20210707,Carmarthenshire,W02000148,Carmarthen North,Gogledd Caerfyrddin,4,77.7
20210707,Carmarthenshire,W02000149,Carmarthen South & Llangynnwr,De Caerfyrddin a Llangynnwr,6,93.0
20210707,Carmarthenshire,W02000151,"Brynaman, Y Garnant & Glanaman","Brynaman, Y Garnant a Glanaman",14,190.0
20210707,Carmarthenshire,W02000152,Llandybie & Saron,Llandyb•e a Saron,5,58.5
20210707,Carmarthenshire,W02000153,"Llanddarog, Llangyndeyrn & Ferryside","Llanddarog, Llangyndeyrn a Glanyfferi",9,108.6
20210707,Carmarthenshire,W02000154,Ammanford & Betws,Rhydaman a Betws,7,88.3
20210707,Carmarthenshire,W02000156,"Llan-non, Cross Hands & Pen-y-groes","Llan-non, Cross Hands a Phen-y-groes",5,59.4
20210707,Carmarthenshire,W02000157,Glyn & Pontyberem,Glyn a Phontyberem,0-2,<21
20210707,Carmarthenshire,W02000158,Yr Hendy & Ty-croes,Yr Hendy a Th?-croes,4,66.0
20210707,Carmarthenshire,W02000159,Cydweli & Trimsaran,Cydweli a Thrimsaran,10,161.9
20210707,Carmarthenshire,W02000160,Swiss Valley & Llangennech,Dyffryn y Swistir a Llangennech,7,91.5
20210707,Carmarthenshire,W02000161,Dafen & Felin-foel,Dafen a Felin-foel,0-2,<36
20210707,Carmarthenshire,W02000162,Pembrey & Burry Port,Pen-bre a Phorth Tywyn,3,36.1
20210707,Carmarthenshire,W02000163,Llanelli North,Gogledd Llanelli,0-2,<37
20210707,Carmarthenshire,W02000164,Llanelli West,Gorllewin Llanelli,0-2,<28
20210707,Carmarthenshire,W02000165,Llanelli Bigyn,Llanelli Bigyn,4,59.4
20210707,Carmarthenshire,W02000166,Bynea & Llwynhendy,Bynea a Llwynhendy,5,55.3
20210707,Carmarthenshire,W02000167,Llanelli South,De Llanelli,10,93.4
20210707,Carmarthenshire,W02000418,"Whitland, Laugharne & Llansteffan","Hendy-gwyn ar Daf, Lacharn a Llansteffan",20,160.2
20210707,Ceredigion,W02000116,Borth & Bont-goch,Y Borth a Bont-goch,16,215.1
20210707,Ceredigion,W02000117,Aberystwyth North,Gogledd Aberystwyth,15,169.8
20210707,Ceredigion,W02000118,Aberystwyth South,De Aberystwyth,8,119.5
20210707,Ceredigion,W02000120,Aberaeron & Llanrhystud,Aberaeron a Llanrhystud,0-2,<29
20210707,Ceredigion,W02000122,New Quay & Penbryn,Ceinewydd a Phenbryn,3,45.6
20210707,Ceredigion,W02000123,Lampeter & Llanfihangel Ystrad,Llanbedr Pont Steffan a Llanfihangel Ystrad,6,72.8
20210707,Ceredigion,W02000124,Cardigan & Aber-porth,Aberteifi ac Aber-porth,0-2,<23
20210707,Ceredigion,W02000125,"Beulah, Troed-yr-aur & Llandysul","Beulah, Troed-yr-aur a Llandysul",0-2,<28
20210707,Ceredigion,W02000421,"Rheidol, Ystwyth & Caron","Rheidol, Ystwyth a Caron",7,60.6
20210707,Conwy,W02000027,Llandudno Town & Gogarth,Tref Llandudno a Gogarth,18,203.2
20210707,Conwy,W02000028,Llandudno South,De Llandudno,16,228.4
20210707,Conwy,W02000029,Penrhyn Bay,Bae Penrhyn,17,273.4
20210707,Conwy,W02000030,Rhos-on-Sea,Llandrillo-yn-Rhos,7,116.5
20210707,Conwy,W02000031,Kinmel Bay & Towyn,Bae Cinmel a Thowyn,26,311.3
20210707,Conwy,W02000032,Llandudno Junction North & Deganwy,Gogledd Cyffordd Llandudno a Deganwy,8,83.2
20210707,Conwy,W02000033,Colwyn Bay North,Gogledd Bae Colwyn,28,451.4
20210707,Conwy,W02000034,Upper Colwyn Bay,Bae Colwyn Uchaf,11,145.0
20210707,Conwy,W02000035,Old Colwyn & Llanddulas,Hen Golwyn a Llanddulas,20,231.1
20210707,Conwy,W02000036,Abergele,Abergele,17,156.4
20210707,Conwy,W02000037,Llandudno Junction South & Llasanffraid Glan Conwy,De Cyffordd Llandudno a Llasanffraid Glan Conwy,11,149.9
20210707,Conwy,W02000038,Conwy & Afon Roe,Conwy a Afon Ro,16,224.2
20210707,Conwy,W02000039,Llanfairfechan & Penmaenmawr,Llanfairfechan a Penmaenmawr,7,89.7
20210707,Conwy,W02000040,"Betws-yn-Rhos, Llangernyw & Llansannan","Betws-yn-Rhos, Llangernyw a Llansannan",4,57.5
20210707,Conwy,W02000041,Llanrwst & Betws-y-coed,Llanrwst a Betws-y-coed,9,104.7
20210707,Denbighshire,W02000042,Prestatyn North,Gogledd Prestatyn,10,172.2
20210707,Denbighshire,W02000043,Prestatyn Central & East,Canol a Dwyrain Prestatyn,16,305.9
20210707,Denbighshire,W02000044,Prestatyn South,De Prestatyn,10,192.2
20210707,Denbighshire,W02000045,Rhyl North,Gogledd y Rhyl,18,188.8
20210707,Denbighshire,W02000047,Rhyl South West,De-orllewin y Rhyl,6,109.0
20210707,Denbighshire,W02000049,Dyserth & Tremeirchion,Dyserth a Thremeirchion,10,154.0
20210707,Denbighshire,W02000050,Rhuddlan & Bodelwyddan,Rhuddlan a Bodelwyddan,15,234.1
20210707,Denbighshire,W02000051,St Asaph & Trefnant,Llanelwy a Threfnant,7,130.6
20210707,Denbighshire,W02000052,Denbigh West,Gorllewin Dinbych,16,305.9
20210707,Denbighshire,W02000053,Denbigh East & Pentre Llanrhaeadr,Dwyrain Dinbych a Phentre Llanrhaeadr,16,242.9
20210707,Denbighshire,W02000054,Llandyrnog & Llanarmon-yn-I‰l,Llandyrnog a Llanarmon-yn-I‰l,10,163.4
20210707,Denbighshire,W02000055,Ruthin,Rhuthun,5,88.8
20210707,Denbighshire,W02000056,"Corwen, Llanelidan & Efenechdyd","Corwen, Llanelidan ac Efenechdyd",5,94.6
20210707,Denbighshire,W02000057,Llangollen & Llandrillo,Llangollen a Llandrillo,9,140.5
20210707,Denbighshire,W02000419,Rhyl East,Dwyrain y Rhyl,24,220.1
20210707,Flintshire,W02000058,"Gronant, Ffynnongroyw & Trelawnyd","Gronant, Ffynnongroyw a Threlawnyd",7,140.3
20210707,Flintshire,W02000059,Mostyn & Holway,Mostyn a Holway,6,90.1
20210707,Flintshire,W02000060,Holywell & Bagillt,Treffynnon a Bagillt,26,238.0
20210707,Flintshire,W02000061,Flint North East,Gogledd-ddwyrain y Fflint,23,331.3
20210707,Flintshire,W02000062,Flint South West,De-orllewin y Fflint,16,257.6
20210707,Flintshire,W02000063,"Caerwys, Halkyn & Nannerch","Caerwys, Helygain a Nannerch",5,61.6
20210707,Flintshire,W02000064,Connah's Quay North,Gogledd Cei Connah,23,376.6
20210707,Flintshire,W02000065,Connah's Quay Wepre,Cei Connah Gwepra,18,245.1
20210707,Flintshire,W02000066,Shotton & Garden City,Shotton a Garden City,22,217.3
20210707,Flintshire,W02000067,Connah's Quay South & Northop Hall,De Cei Connah a Phentre-moch,18,270.8
20210707,Flintshire,W02000068,Queensferry & Sandycroft,Queensferry a Sandycroft,13,233.6
20210707,Flintshire,W02000069,"Buckley North, Northop & Sychdyn","Gogledd Bwcle, Llaneurgain a Sychdyn",6,93.4
20210707,Flintshire,W02000070,Ewloe & Hawarden,Ewloe a Phenarl‰g,24,220.8
20210707,Flintshire,W02000071,New Brighton & Mynyddisa,New Brighton a Mynyddisa,14,194.3
20210707,Flintshire,W02000072,Broughton & Saltney,Brychdyn a Saltney,41,341.6
20210707,Flintshire,W02000073,Mold,Yr Wyddgrug,17,167.9
20210707,Flintshire,W02000074,Buckley South,De Bwcle,23,227.9
20210707,Flintshire,W02000075,Pen-y-ffordd & Higher Kinnerton,Pen-y-ffordd a Higher Kinnerton,13,211.8
20210707,Flintshire,W02000076,"Leeswood, Treuddyn & Gwernaffield","Coed-llai, Treuddyn a'r Waun",6,80.7
20210707,Flintshire,W02000077,Hope,Yr H™b,11,177.7
20210707,Gwynedd,W02000010,Bangor City,Dinas Bangor,17,177.2
20210707,Gwynedd,W02000011,Bangor South,De Bangor,19,228.1
20210707,Gwynedd,W02000012,Bethesda,Bethesda,6,69.9
20210707,Gwynedd,W02000013,Bethel & Llanrug,Bethel a Llanrug,11,160.4
20210707,Gwynedd,W02000014,Llanberis & Deiniolen,Llanberis a Deiniolen,4,55.1
20210707,Gwynedd,W02000015,Caernarfon East,Dwyrain Caernarfon,5,58.6
20210707,Gwynedd,W02000016,Caernarfon West & Waunfawr,Gorllewin Caernarfon a Waunfawr,3,44.8
20210707,Gwynedd,W02000017,"Pen-y-groes, Tal-y-sarn & Dyffryn Nantlle","Pen-y-groes, Tal-y-sarn a Dyffryn Nantlle",10,125.7
20210707,Gwynedd,W02000018,Blaenau Ffestiniog & Trawsfynydd,Blaenau Ffestiniog a Thrawsfynydd,13,200.3
20210707,Gwynedd,W02000019,Porthmadog,Porthmadog,3,42.7
20210707,Gwynedd,W02000020,Cricieth & Llanaelhaearn,Cricieth a Llanaelhaearn,10,144.2
20210707,Gwynedd,W02000021,Pwllheli & Morfa Nefyn,Pwllheli a Morfa Nefyn,3,35.6
20210707,Gwynedd,W02000022,Harlech & Llanbedr,Harlech a Llanbedr,14,235.5
20210707,Gwynedd,W02000023,Abersoch & Aberdaron,Abersoch ac Aberdaron,9,153.2
20210707,Gwynedd,W02000024,Bala & Mawddwy,Y Bala a Mawddwy,7,116.6
20210707,Gwynedd,W02000025,Barmouth & Dolgellau,Y Bermo a Dolgellau,23,347.5
20210707,Gwynedd,W02000026,Tywyn & Llangelynnin,Tywyn a Llangelynnin,7,94.0
20210707,Merthyr Tydfil,W02000284,Dowlais,Dowlais,8,83.2
20210707,Merthyr Tydfil,W02000285,"Cefncoedycymer, Heolgerrig & Park","Cefncoedycymer, Heolgerrig a Pharc",0-2,<24
20210707,Merthyr Tydfil,W02000286,Gelli-deg & Town,Gelli-deg a'r Dref,7,99.5
20210707,Merthyr Tydfil,W02000287,Pentre-bach & Mountain Hare,Pentre-bach a Mountain Hare,7,82.7
20210707,Merthyr Tydfil,W02000288,"Merthyr Vale, Troed-y-rhiw & Bedlinog","Ynysowen, Troed-y-rhiw a Bedlinog",7,86.7
20210707,Merthyr Tydfil,W02000289,Treharris & Trelewis,Treharris a Trelewis,12,137.4
20210707,Merthyr Tydfil,W02000415,"Gurnos, Trefechan & Pontsticill","Gurnos, Trefechan a Phontsticill",5,51.5
20210707,Monmouthshire,W02000336,Abergavenny South & Crucorney,De'r Fenni a Chrucornau,3,35.9
20210707,Monmouthshire,W02000337,Abergavenny North,Gogledd y Fenni,9,117.4
20210707,Monmouthshire,W02000338,Gilwern & Llanfoist,Gilwern a Llan-ffwyst,10,116.7
20210707,Monmouthshire,W02000339,Monmouth & Wyesham,Trefynwy a Wyesham,14,124.2
20210707,Monmouthshire,W02000340,Rhaglan & Llantilio Crossenny,Rhaglan a Llandeilo Gresynni,13,177.7
20210707,Monmouthshire,W02000341,"Usk, Goytre & Llangybi Fawr","Brynbuga, Penperlleni a Llangybi Fawr",7,81.6
20210707,Monmouthshire,W02000342,Chepstow North & Trellech,Gogledd Cas-gwent a Thryleg,12,123.8
20210707,Monmouthshire,W02000343,Chepstow South,De Cas-gwent,19,220.7
20210707,Monmouthshire,W02000344,Caldicot North & Caer-went,Gogledd Cil-y-coed a Chaer-went,12,141.2
20210707,Monmouthshire,W02000345,Caldicot South,De Cil-y-coed,9,109.8
20210707,Monmouthshire,W02000346,Magor & Rogiet,Magwyr a Rogiet,9,114.7
20210707,Neath Port Talbot,W02000200,Dulais Valley,Cwmdulais,6,114.7
20210707,Neath Port Talbot,W02000201,Glynneath,Glyn-nedd,11,209.0
20210707,Neath Port Talbot,W02000202,Pontardawe,Pontardawe,15,122.1
20210707,Neath Port Talbot,W02000203,Aberdulais & Resolfen,Aberdulais a Resolfen,11,160.9
20210707,Neath Port Talbot,W02000204,Cadoxton & Bryn-coch,Llangatwg a Bryn-coch,7,103.2
20210707,Neath Port Talbot,W02000205,Neath Abbey,Abaty Castell-nedd,3,51.3
20210707,Neath Port Talbot,W02000206,Neath Town,Tref Castell-nedd,5,73.5
20210707,Neath Port Talbot,W02000207,Cimla,Cimla,0-2,<40
20210707,Neath Port Talbot,W02000208,Skewen & Jersey Marine,Sgiwen a Jersey Marine,13,119.0
20210707,Neath Port Talbot,W02000209,Glyncorrwg & Blaengwynfi,Glyncorrwg a Blaengwynfi,4,78.3
20210707,Neath Port Talbot,W02000210,Neath South,De Castell-nedd,4,60.7
20210707,Neath Port Talbot,W02000211,Briton Ferry,Llansawel,0-2,<26
20210707,Neath Port Talbot,W02000212,Cwmafan & Bryn,Cwmafan a Bryn,4,51.0
20210707,Neath Port Talbot,W02000213,Baglan,Baglan,3,44.6
20210707,Neath Port Talbot,W02000214,Sandfields,Sandfields,5,50.7
20210707,Neath Port Talbot,W02000215,Aberafan,Aberafan,14,143.3
20210707,Neath Port Talbot,W02000216,Port Talbot East,Dwyrain Port Talbot,5,69.3
20210707,Neath Port Talbot,W02000217,Port Talbot South & Margam,De Port Talbot a Margam,0-2,<31
20210707,Neath Port Talbot,W02000417,Ystalyfera & Gwaun-Cae-Gurwen,Ystalyfera a Gwauncaegurwen,11,105.2
20210707,Newport,W02000347,Caerleon,Caerllion,5,64.3
20210707,Newport,W02000348,Malpas,Malpas,6,76.5
20210707,Newport,W02000349,Bettws,Betws,6,74.6
20210707,Newport,W02000350,Langstone & Llan-wern,Langstone a Llan-wern,15,169.5
20210707,Newport,W02000351,Beechwood,Beechwood,13,213.4
20210707,Newport,W02000352,Shaftesbury & Crindai,Shaftesbury a Chrindai,8,118.1
20210707,Newport,W02000353,St Julians & Barnardtown,Sain Silian a Barnardtown,13,183.3
20210707,Newport,W02000354,Lawrence Hill,Lawrence Hill,7,120.8
20210707,Newport,W02000355,Rogerstone,T?-du,8,86.7
20210707,Newport,W02000356,Ringland,Ringland,0-2,<38
20210707,Newport,W02000357,Maendy,Maendy,6,75.1
20210707,Newport,W02000358,Ridgeway & Glasllwch,Ridgeway a Glasllwch,12,188.7
20210707,Newport,W02000359,Victoria & Somerton,Victoria a Somerton,13,109.7
20210707,Newport,W02000360,Stow Hill,Stow Hill,14,213.4
20210707,Newport,W02000361,Liswerry & Uskmouth,Llyswyry ac Uskmouth,20,172.9
20210707,Newport,W02000362,Pye Corner & Graig,Pye Corner a Graig,10,158.4
20210707,Newport,W02000363,Gaer,Gaer,0-2,<35
20210707,Newport,W02000364,Pillgwenlly & Docks,Pilgwenlli a'r Dociau,20,226.2
20210707,Newport,W02000365,Duffryn & Maesglas,Dyffryn a Maesglas,12,146.5
20210707,Newport,W02000366,Marshfield,Maerun,9,107.6
20210707,Pembrokeshire,W02000126,Cilgerran & Crymych,Cilgerran a Chrymych,0-2,<24
20210707,Pembrokeshire,W02000127,Fishguard,Abergwaun,8,80.8
20210707,Pembrokeshire,W02000128,St Davids & Letterston,Tyddewi a Treletert,0-2,<27
20210707,Pembrokeshire,W02000129,"Crundale, Clynderwen & Maenclochog","Crundale, Clunderwen a Maenclochog",3,41.6
20210707,Pembrokeshire,W02000130,Haverfordwest North,Gogledd Hwlffordd,3,42.2
20210707,Pembrokeshire,W02000131,Haverfordwest South,De Hwlffordd,0-2,<28
20210707,Pembrokeshire,W02000132,Narberth,Arberth,4,58.2
20210707,Pembrokeshire,W02000133,"Johnston, Broad Haven & St Ishmaels","Johnston, Aber Llydan a Llanisan-yn-Rhos",0-2,<24
20210707,Pembrokeshire,W02000134,Neyland,Neyland,6,69.0
20210707,Pembrokeshire,W02000135,Milford Haven East,Dwyrain Aberdaugleddau,0-2,<27
20210707,Pembrokeshire,W02000136,Saundersfoot,Saundersfoot,13,153.0
20210707,Pembrokeshire,W02000137,Milford Haven West,Gorllewin Aberdaugleddau,8,104.7
20210707,Pembrokeshire,W02000138,Pembroke Dock,Doc Penfro,6,62.1
20210707,Pembrokeshire,W02000139,Pembroke East & Manorbier,Dwyrain Penfro a Maenorb?r,4,52.0
20210707,Pembrokeshire,W02000140,Pembroke West & Castlemartin,Gorllewin Penfro a Chastellmartin,10,135.2
20210707,Pembrokeshire,W02000141,Tenby & Caldey,Dinbych-y-pysgod ac Ynys B?r,0-2,<33
20210707,Powys,W02000097,Llanfyllin & Llanwyddyn,Llanfyllin a Llanwyddyn,10,109.4
20210707,Powys,W02000098,Four Crosses & Guilsfield,Llandysilio a Cegidfa,4,65.1
20210707,Powys,W02000099,Welshpool,Y Trallwng,6,89.2
20210707,Powys,W02000100,Machynlleth & Banwy,Machynlleth a Banwy,13,206.6
20210707,Powys,W02000101,"Montgomery, Trewern & Berriew","Trefaldwyn, Tre-wern ac Aberriw",8,146.7
20210707,Powys,W02000102,Llanfair Caereinion & Caersws,Llanfair Caereinion a Chaers?s,12,195.2
20210707,Powys,W02000103,"Abermule, Churchstoke & Kerry","Aber-miwl, Ystog a Ceri",13,230.7
20210707,Powys,W02000104,Newtown North,Gogledd-ddwyrain y Drenewydd,32,516.0
20210707,Powys,W02000105,Newtown South,De-orllewin y Drenewydd,35,697.2
20210707,Powys,W02000106,"Llanidloes, Blaen Hafren & Llandinam","Llanidloes, Blaen Hafren a Llandinam",6,92.3
